Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.1,FPN 2.1,Nepal,NPL,2021,YR2021,..,4.126,..,..,..,..,4.621,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.4,..,..,21.4,30034989
Food Prices for Nutrition 2.1,FPN 2.1,Netherlands,NLD,2017,YR2017,0.394,2.449,0.254,1.581,0.043,0.265,2.743,9.24,1.771,0.297,0.614,1.91,0.607,1.89,0.255,0.79,0.053,0.16,0.322,0.892,2.77,0.224,0.221,0.093,0.019,0.325,0.117,0,0.3,0.4,0,0,0.1,17131296
Food Prices for Nutrition 2.1,FPN 2.1,Netherlands,NLD,2018,YR2018,..,2.519,..,..,..,..,2.821,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,0,17231624
Food Prices for Nutrition 2.1,FPN 2.1,Netherlands,NLD,2019,YR2019,..,2.618,..,..,..,..,2.932,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,17344874
Food Prices for Nutrition 2.1,FPN 2.1,Netherlands,NLD,2020,YR2020,..,2.679,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,17441500
Food Prices for Nutrition 2.1,FPN 2.1,Netherlands,NLD,2021,YR2021,..,2.646,..,..,..,..,2.963,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,17533044
Food Prices for Nutrition 2.1,FPN 2.1,New Zealand,NZL,2017,YR2017,0.319,2.385,0.265,1.985,0.058,0.437,2.671,5.46,2.223,0.489,0.739,2.36,0.663,2.12,0.299,0.96,0.056,0.18,0.313,0.6,1.92,0.277,0.248,0.112,0.021,0.225,0.117,..,..,..,..,..,..,4813600
Food Prices for Nutrition 2.1,FPN 2.1,New Zealand,NZL,2018,YR2018,..,2.312,..,..,..,..,2.589,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4900600
Food Prices for Nutrition 2.1,FPN 2.1,New Zealand,NZL,2019,YR2019,..,2.43,..,..,..,..,2.722,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4979200
Food Prices for Nutrition 2.1,FPN 2.1,New Zealand,NZL,2020,YR2020,..,2.515,..,..,..,..,2.817,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5090200
Food Prices for Nutrition 2.1,FPN 2.1,New Zealand,NZL,2021,YR2021,..,2.497,..,..,..,..,2.797,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5111400
Food Prices for Nutrition 2.1,FPN 2.1,Nicaragua,NIC,2017,YR2017,0.935,2.849,0.729,2.222,0.421,1.282,3.191,2.22,2.489,1.436,1.016,1.73,0.373,0.64,0.331,0.56,0.14,0.24,0.587,0.743,1.27,0.318,0.117,0.104,0.044,0.233,0.184,5.7,21.2,32.3,0.4,1.4,2.1,6480532
Food Prices for Nutrition 2.1,FPN 2.1,Nicaragua,NIC,2018,YR2018,..,2.897,..,..,..,..,3.245,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.4,..,..,2.3,6572233
Food Prices for Nutrition 2.1,FPN 2.1,Nicaragua,NIC,2019,YR2019,..,2.928,..,..,..,..,3.279,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.8,..,..,2.4,6663924
Food Prices for Nutrition 2.1,FPN 2.1,Nicaragua,NIC,2020,YR2020,..,2.978,..,..,..,..,3.335,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.1,..,..,2.5,6755895
Food Prices for Nutrition 2.1,FPN 2.1,Nicaragua,NIC,2021,YR2021,..,3.161,..,..,..,..,3.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,..,..,2.3,6850540
Food Prices for Nutrition 2.1,FPN 2.1,Niger,NER,2017,YR2017,4.064,2.545,2.364,1.48,0.867,0.543,2.85,4.69,1.658,0.608,1.138,2.84,0.601,1.5,0.094,0.23,0.144,0.36,0.401,0.473,1.18,0.399,0.211,0.033,0.051,0.166,0.141,13.5,77.1,92.9,2.9,16.8,20.2,21737922
Food Prices for Nutrition 2.1,FPN 2.1,Niger,NER,2018,YR2018,..,2.511,..,..,..,..,2.812,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.4,..,..,20.6,22577058
Food Prices for Nutrition 2.1,FPN 2.1,Niger,NER,2019,YR2019,..,2.493,..,..,..,..,2.792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.3,..,..,21.2,23443393
Food Prices for Nutrition 2.1,FPN 2.1,Niger,NER,2020,YR2020,..,2.591,..,..,..,..,2.902,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91,..,..,22.1,24333639
Food Prices for Nutrition 2.1,FPN 2.1,Niger,NER,2021,YR2021,..,2.817,..,..,..,..,3.155,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92,..,..,23.2,25252722
Food Prices for Nutrition 2.1,FPN 2.1,Nigeria,NGA,2017,YR2017,0.603,3.183,0.358,1.888,0.234,1.234,3.565,2.58,2.115,1.382,0.994,1.31,0.522,0.69,0.23,0.3,0.13,0.17,0.757,0.932,1.23,0.279,0.146,0.065,0.036,0.261,0.212,44.4,69.4,90.2,85.8,134.3,174.6,193495907
Food Prices for Nutrition 2.1,FPN 2.1,Nigeria,NGA,2018,YR2018,..,3.325,..,..,..,..,3.724,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.1,..,..,180.6,198387623
Food Prices for Nutrition 2.1,FPN 2.1,Nigeria,NGA,2019,YR2019,..,3.455,..,..,..,..,3.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.8,..,..,186.7,203304492
Food Prices for Nutrition 2.1,FPN 2.1,Nigeria,NGA,2020,YR2020,..,3.586,..,..,..,..,4.016,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.2,..,..,194.2,208327405
Food Prices for Nutrition 2.1,FPN 2.1,Nigeria,NGA,2021,YR2021,..,3.862,..,..,..,..,4.325,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.6,..,..,199.7,213401323
Food Prices for Nutrition 2.1,FPN 2.1,North America,NAC,2017,YR2017,0.433,3.024,0.365,2.688,0.113,0.797,3.386,1.1245433410827,3.011,0.892,0.608,1,0.587,0.96,0.375,0.61,0.101,0.17,0.611,1.103,1.81,0.18,0.173,0.111,0.03,0.326,0.18,1.1,1.4,1.9,4.1,5.1,6.8,361731237
Food Prices for Nutrition 2.1,FPN 2.1,North America,NAC,2018,YR2018,..,2.958,..,..,..,..,3.313,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,..,..,6,363967201
Food Prices for Nutrition 2.1,FPN 2.1,North America,NAC,2019,YR2019,..,2.985,..,..,..,..,3.343,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,5.2,365995094
Food Prices for Nutrition 2.1,FPN 2.1,North America,NAC,2020,YR2020,..,3.012,..,..,..,..,3.373,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,4.4,369582571
Food Prices for Nutrition 2.1,FPN 2.1,North America,NAC,2021,YR2021,..,2.964,..,..,..,..,3.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,3.6,370321816
Food Prices for Nutrition 2.1,FPN 2.1,North Macedonia,MKD,2017,YR2017,0.434,2.963,0.389,2.654,0.096,0.652,3.318,4.55,2.972,0.73,0.949,1.81,0.64,1.22,0.347,0.66,0.146,0.28,0.525,0.712,1.36,0.286,0.193,0.105,0.044,0.215,0.158,2.6,16.8,20.1,0.1,0.3,0.4,2074502
Food Prices for Nutrition 2.1,FPN 2.1,North Macedonia,MKD,2018,YR2018,..,2.968,..,..,..,..,3.324,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.7,..,..,0.4,2076217
Food Prices for Nutrition 2.1,FPN 2.1,North Macedonia,MKD,2019,YR2019,..,3.093,..,..,..,..,3.464,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.6,..,..,0.3,2076694
Food Prices for Nutrition 2.1,FPN 2.1,North Macedonia,MKD,2020,YR2020,..,3.06,..,..,..,..,3.427,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5,..,..,0.4,2072531
Food Prices for Nutrition 2.1,FPN 2.1,North Macedonia,MKD,2021,YR2021,..,3.229,..,..,..,..,3.616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9,..,..,0.3,2065092
Food Prices for Nutrition 2.1,FPN 2.1,Norway,NOR,2017,YR2017,0.446,2.969,0.382,2.544,0.15,1.002,3.325,2.96,2.849,1.122,0.691,1.22,0.615,1.09,0.257,0.45,0.075,0.13,0.565,1.122,1.99,0.208,0.185,0.077,0.023,0.337,0.17,0.3,0.5,0.6,0,0,0,5276968
Food Prices for Nutrition 2.1,FPN 2.1,Norway,NOR,2018,YR2018,..,3.064,..,..,..,..,3.432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,0,5311916
Food Prices for Nutrition 2.1,FPN 2.1,Norway,NOR,2019,YR2019,..,3.106,..,..,..,..,3.479,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,0,5347896
Food Prices for Nutrition 2.1,FPN 2.1,Norway,NOR,2020,YR2020,..,3.114,..,..,..,..,3.488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0,5379475
Food Prices for Nutrition 2.1,FPN 2.1,Norway,NOR,2021,YR2021,..,3.001,..,..,..,..,3.361,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,0,5408320
Food Prices for Nutrition 2.1,FPN 2.1,Oman,OMN,2017,YR2017,0.39,2.513,0.263,1.696,0.072,0.466,2.815,5.39,1.899,0.522,0.842,1.7,0.378,0.76,0.351,0.71,0.148,0.3,0.496,0.599,1.21,0.299,0.134,0.125,0.053,0.213,0.176,..,..,..,..,..,..,4541854
Food Prices for Nutrition 2.1,FPN 2.1,Oman,OMN,2018,YR2018,..,2.534,..,..,..,..,2.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4601157
Food Prices for Nutrition 2.1,FPN 2.1,Oman,OMN,2019,YR2019,..,2.608,..,..,..,..,2.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4602768
Food Prices for Nutrition 2.1,FPN 2.1,Oman,OMN,2020,YR2020,..,2.697,..,..,..,..,3.021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4543399
Food Prices for Nutrition 2.1,FPN 2.1,Oman,OMN,2021,YR2021,..,2.804,..,..,..,..,3.141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4520471
Food Prices for Nutrition 2.1,FPN 2.1,Pakistan,PAK,2017,YR2017,0.928,3.043,0.53,1.738,0.209,0.686,3.408,4.44,1.946,0.768,1.019,2.49,0.923,2.25,0.34,0.83,0.193,0.47,0.41,0.524,1.28,0.299,0.271,0.1,0.057,0.154,0.12,0.3,40.9,81,0.6,88.5,175.3,216379655
Food Prices for Nutrition 2.1,FPN 2.1,Pakistan,PAK,2018,YR2018,..,3.031,..,..,..,..,3.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.8,..,..,175.4,219731479
Food Prices for Nutrition 2.1,FPN 2.1,Pakistan,PAK,2019,YR2019,..,3.089,..,..,..,..,3.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.4,..,..,181.8,223293280
Food Prices for Nutrition 2.1,FPN 2.1,Pakistan,PAK,2020,YR2020,..,3.29,..,..,..,..,3.685,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.2,..,..,188.9,227196741
Food Prices for Nutrition 2.1,FPN 2.1,Pakistan,PAK,2021,YR2021,..,3.476,..,..,..,..,3.893,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.1,..,..,185.4,231402117
Food Prices for Nutrition 2.1,FPN 2.1,Panama,PAN,2017,YR2017,0.516,3.772,0.394,2.879,0.138,1.007,4.225,3.75,3.224,1.128,1.11,1.61,0.654,0.95,0.306,0.44,0.17,0.25,0.69,1.295,1.88,0.263,0.155,0.072,0.04,0.307,0.163,2.2,12.1,17.5,0.1,0.5,0.7,4096063
Food Prices for Nutrition 2.1,FPN 2.1,Panama,PAN,2018,YR2018,..,3.811,..,..,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.5,..,..,0.6,4165255
Food Prices for Nutrition 2.1,FPN 2.1,Panama,PAN,2019,YR2019,..,3.913,..,..,..,..,4.382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.2,..,..,0.6,4232532
Food Prices for Nutrition 2.1,FPN 2.1,Panama,PAN,2020,YR2020,..,3.996,..,..,..,..,4.476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.5,..,..,0.9,4294396
Food Prices for Nutrition 2.1,FPN 2.1,Panama,PAN,2021,YR2021,..,4.185,..,..,..,..,4.687,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,..,..,0.7,4351267
Food Prices for Nutrition 2.1,FPN 2.1,Paraguay,PRY,2017,YR2017,0.585,3.063,0.662,3.47,0.162,0.848,3.43,3.61,3.886,0.95,0.809,1.71,0.455,0.96,0.826,1.74,0.142,0.3,0.474,0.724,1.53,0.236,0.133,0.241,0.041,0.211,0.138,0.5,24.4,19.9,0,1.6,1.3,6355404
Food Prices for Nutrition 2.1,FPN 2.1,Paraguay,PRY,2018,YR2018,..,3.135,..,..,..,..,3.511,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.3,..,..,1.2,6443328
Food Prices for Nutrition 2.1,FPN 2.1,Paraguay,PRY,2019,YR2019,..,3.142,..,..,..,..,3.519,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.7,..,..,1.2,6530026
Food Prices for Nutrition 2.1,FPN 2.1,Paraguay,PRY,2020,YR2020,..,3.163,..,..,..,..,3.543,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.3,..,..,1.3,6618695
Food Prices for Nutrition 2.1,FPN 2.1,Paraguay,PRY,2021,YR2021,..,3.453,..,..,..,..,3.867,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.4,..,..,1.4,6703799
Food Prices for Nutrition 2.1,FPN 2.1,Peru,PER,2017,YR2017,0.696,2.754,0.505,2,0.207,0.818,3.084,3.37,2.24,0.916,0.898,1.52,0.57,0.96,0.35,0.59,0.122,0.21,0.591,0.552,0.93,0.291,0.185,0.113,0.04,0.179,0.192,2.7,16.5,26.6,0.9,5.2,8.4,31605486
Food Prices for Nutrition 2.1,FPN 2.1,Peru,PER,2018,YR2018,..,2.734,..,..,..,..,3.062,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.5,..,..,7.6,32203944
Food Prices for Nutrition 2.1,FPN 2.1,Peru,PER,2019,YR2019,..,2.766,..,..,..,..,3.098,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.4,..,..,7,32824861
Food Prices for Nutrition 2.1,FPN 2.1,Peru,PER,2020,YR2020,..,2.797,..,..,..,..,3.133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.2,..,..,11.4,33304756
Food Prices for Nutrition 2.1,FPN 2.1,Peru,PER,2021,YR2021,..,2.977,..,..,..,..,3.334,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.6,..,..,8.6,33715471
Food Prices for Nutrition 2.1,FPN 2.1,Philippines,PHL,2017,YR2017,0.586,3.431,0.43,2.518,0.176,1.034,3.843,3.32,2.82,1.158,1.095,1.6,0.591,0.86,0.319,0.47,0.201,0.29,0.684,0.953,1.39,0.285,0.154,0.083,0.052,0.248,0.178,6.9,53.1,70.1,7.4,56.7,74.8,106738501
Food Prices for Nutrition 2.1,FPN 2.1,Philippines,PHL,2018,YR2018,..,3.567,..,..,..,..,3.995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,..,..,76,108568836
Food Prices for Nutrition 2.1,FPN 2.1,Philippines,PHL,2019,YR2019,..,3.62,..,..,..,..,4.054,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.4,..,..,75.5,110380804
Food Prices for Nutrition 2.1,FPN 2.1,Philippines,PHL,2020,YR2020,..,3.677,..,..,..,..,4.118,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.1,..,..,83.1,112190977
Food Prices for Nutrition 2.1,FPN 2.1,Philippines,PHL,2021,YR2021,..,3.896,..,..,..,..,4.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.1,..,..,84.4,113880328
Food Prices for Nutrition 2.1,FPN 2.1,Poland,POL,2017,YR2017,0.381,2.597,0.252,1.719,0.051,0.348,2.909,7.46,1.925,0.39,0.584,1.84,0.651,2.05,0.377,1.19,0.09,0.28,0.318,0.89,2.8,0.201,0.224,0.13,0.031,0.306,0.109,0,0.1,1,0,0,0.4,37974826
Food Prices for Nutrition 2.1,FPN 2.1,Poland,POL,2018,YR2018,..,2.666,..,..,..,..,2.986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,0.6,37974750
Food Prices for Nutrition 2.1,FPN 2.1,Poland,POL,2019,YR2019,..,2.823,..,..,..,..,3.162,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,0.4,37965475
Food Prices for Nutrition 2.1,FPN 2.1,Poland,POL,2020,YR2020,..,2.866,..,..,..,..,3.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,0.5,37899070
Food Prices for Nutrition 2.1,FPN 2.1,Poland,POL,2021,YR2021,..,2.817,..,..,..,..,3.155,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,1.5,37747124
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,PRT,2017,YR2017,0.278,2.244,0.203,1.638,0.046,0.368,2.513,6.1,1.835,0.412,0.583,2.15,0.687,2.54,0.275,1.01,0.078,0.29,0.271,0.62,2.29,0.232,0.273,0.109,0.031,0.247,0.108,0.1,0.7,1.1,0,0.1,0.1,10300300
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,PRT,2018,YR2018,..,2.318,..,..,..,..,2.596,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,0.1,10283822
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,PRT,2019,YR2019,..,2.387,..,..,..,..,2.673,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.1,10286263
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,PRT,2020,YR2020,..,2.359,..,..,..,..,2.642,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,0.1,10297081
Food Prices for Nutrition 2.1,FPN 2.1,Portugal,PRT,2021,YR2021,..,2.367,..,..,..,..,2.651,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,10325147
Food Prices for Nutrition 2.1,FPN 2.1,Qatar,QAT,2017,YR2017,0.466,2.121,0.23,1.047,0.118,0.538,2.375,3.95,1.173,0.602,0.679,1.97,0.478,1.39,0.311,0.9,0.071,0.21,0.344,0.493,1.43,0.286,0.201,0.131,0.03,0.208,0.145,..,..,..,..,..,..,2711755
Food Prices for Nutrition 2.1,FPN 2.1,Qatar,QAT,2018,YR2018,..,2.166,..,..,..,..,2.426,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2766732
Food Prices for Nutrition 2.1,FPN 2.1,Qatar,QAT,2019,YR2019,..,2.218,..,..,..,..,2.484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2807235
Food Prices for Nutrition 2.1,FPN 2.1,Qatar,QAT,2020,YR2020,..,2.301,..,..,..,..,2.577,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2760385
Food Prices for Nutrition 2.1,FPN 2.1,Qatar,QAT,2021,YR2021,..,2.418,..,..,..,..,2.708,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2688235
Food Prices for Nutrition 2.1,FPN 2.1,Romania,ROU,2017,YR2017,0.273,2.608,0.205,1.952,0.046,0.437,2.921,5.97,2.186,0.489,0.945,2.64,0.697,1.95,0.351,0.98,0.073,0.2,0.358,0.497,1.39,0.324,0.239,0.12,0.025,0.17,0.123,0.9,8,11.9,0.2,1.6,2.3,19588715
Food Prices for Nutrition 2.1,FPN 2.1,Romania,ROU,2018,YR2018,..,2.652,..,..,..,..,2.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.2,..,..,1.4,19473970
Food Prices for Nutrition 2.1,FPN 2.1,Romania,ROU,2019,YR2019,..,2.797,..,..,..,..,3.133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..,1.7,19371648
Food Prices for Nutrition 2.1,FPN 2.1,Romania,ROU,2020,YR2020,..,2.863,..,..,..,..,3.207,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.4,..,..,1.6,19265250
Food Prices for Nutrition 2.1,FPN 2.1,Romania,ROU,2021,YR2021,..,2.904,..,..,..,..,3.253,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,1.3,19119880
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,RUS,2017,YR2017,0.343,2.812,0.241,1.978,0.066,0.541,3.149,5.2,2.215,0.606,0.98,2.72,0.745,2.07,0.191,0.53,0.135,0.38,0.36,0.739,2.05,0.311,0.237,0.061,0.043,0.235,0.114,0,0.8,3.3,0,1.1,4.7,144496739
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,RUS,2018,YR2018,..,2.854,..,..,..,..,3.197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,..,..,4.2,144477859
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,RUS,2019,YR2019,..,2.914,..,..,..,..,3.264,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,3.6,144406261
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,RUS,2020,YR2020,..,3.054,..,..,..,..,3.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8,..,..,4,144073139
Food Prices for Nutrition 2.1,FPN 2.1,Russian Federation,RUS,2021,YR2021,..,3.284,..,..,..,..,3.678,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6,..,..,3.7,143449286
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,RWA,2017,YR2017,1.808,2.329,0.908,1.171,0.529,0.681,2.609,3.42,1.311,0.763,0.919,1.58,0.481,0.83,0.136,0.23,0.19,0.33,0.58,0.303,0.52,0.352,0.184,0.052,0.073,0.116,0.222,28.1,61.3,87,3.4,7.5,10.6,12230339
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,RWA,2018,YR2018,..,2.217,..,..,..,..,2.483,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9,..,..,10.5,12531808
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,RWA,2019,YR2019,..,2.265,..,..,..,..,2.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.9,..,..,10.5,12835028
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,RWA,2020,YR2020,..,2.409,..,..,..,..,2.698,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.6,..,..,11.1,13146362
